subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 05:18 PM,in person,Crime / Safety,Station infrastructure,Overcrowded trains
E,~5 days per week,< 20 min,Neutral,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Negative,01/10/2019 @ 05:20 PM,in person,Delays,Frequent route changes,Overcrowded trains
A,Once a week,20 - 40 min,Somewhat satisfied,Never,,,Almost never,No reason is given,True,Positive,01/10/2019 @ 05:21 PM,in person,Crime / Safety,Customer service,Overcrowded trains
A,Everyday / Almost everyday,< 20 min,Neutral,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 05:21 PM,in person,Delays,Old trains,Lack of handicap access
R,Once a week,20 - 40 min,Not satisfied,,20 - 45 min,Take a bus,,,True,,01/10/2019 @ 05:22 PM,in person,,,
E,~5 days per week,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/10/2019 @ 05:22 PM,in person,Delays,Overcrowded trains,Lack of handicap access
L,"Weekdays, Mon - Fri",60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Other / No thoughts,01/10/2019 @ 05:22 PM,in person,,,
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Everyday,20 - 45 min,Use another train,All the time,Sick passenger,False,Positive,01/10/2019 @ 05:24 PM,in person,Delays,Frequent route changes,High fares
4,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 05:25 PM,in person,,,
1,Everyday / Almost everyday,< 20 min,Neutral,Everyday,5 - 10 min,Wait for next train,Almost never,No reason is given,False,Positive,01/10/2019 @ 05:25 PM,in person,Delays,High fares,Overcrowded trains
E,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 05:26 PM,in person,Delays,High fares,Old trains
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Walk,All the time,Signal malfunction,False,Neutral,01/10/2019 @ 05:27 PM,in person,Delays,High fares,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Walk,All the time,Train traffic,False,Positive,01/10/2019 @ 05:27 PM,in person,Delays,Frequent route changes,Overcrowded trains
L,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Never,20 - 45 min,Use another train,Only at night,Police incident,True,Negative,01/10/2019 @ 05:28 PM,in person,Station infrastructure,Old trains,Lack of handicap access
F,"More than once a week, varies",20 - 40 min,Neutral,Never,,,,,True,,01/10/2019 @ 05:29 PM,in person,,,
E,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only at night,Signal malfunction,False,Negative,01/10/2019 @ 05:30 PM,in person,Delays,Frequent route changes,High fares
1,~5 days per week,20 - 40 min,Neutral,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/10/2019 @ 05:31 PM,in person,Delays,High fares,Overcrowded trains
1,"More than once a week, varies",< 20 min,Very satisfied,Rarely,,,,,True,,01/10/2019 @ 05:32 PM,in person,,,
1,"More than once a week, varies",,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Police incident,False,,01/10/2019 @ 05:32 PM,in person,Delays,High fares,Customer service
4,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Neutral,01/10/2019 @ 05:35 PM,in person,Frequent route changes,Customer service,Overcrowded trains
F,~5 days per week,40 - 60 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,No reason is given,False,Negative,01/10/2019 @ 05:36 PM,in person,Delays,Frequent route changes,Overcrowded trains
A,Everyday / Almost everyday,< 20 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,,Train traffic,False,Positive,01/10/2019 @ 05:36 PM,in person,High fares,,
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Train traffic,True,Negative,01/10/2019 @ 05:36 PM,in person,Customer service,Overcrowded trains,Lack of handicap access
A,Once a week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Unaware,01/10/2019 @ 05:37 PM,in person,Delays,Frequent route changes,Old trains
1,"Weekdays, Mon - Fri",< 20 min,Not satisfied,A few times a week,5 - 10 min,Walk,Almost never,Train traffic,True,Positive,01/10/2019 @ 05:37 PM,in person,Delays,Customer service,Overcrowded trains
L,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 05:39 PM,in person,Delays,Frequent route changes,High fares
1,Almost never,20 - 40 min,Very satisfied,Never,5 - 10 min,Walk,,Train traffic,True,Neutral,01/10/2019 @ 05:40 PM,in person,,,
A,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Neutral,01/10/2019 @ 05:40 PM,in person,Delays,Old trains,Overcrowded trains
L,"Weekdays, Mon - Fri",60 - 90 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 05:40 PM,in person,Delays,Customer service,Overcrowded trains
7,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,False,Unaware,01/10/2019 @ 05:41 PM,in person,Delays,Frequent route changes,High fares
3,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/10/2019 @ 05:42 PM,in person,Frequent route changes,High fares,Overcrowded trains
C,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Almost never,Train traffic,True,Negative,01/10/2019 @ 05:43 PM,in person,Customer service,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Unaware,01/10/2019 @ 05:44 PM,in person,Delays,Overcrowded trains,
F,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/10/2019 @ 05:45 PM,in person,Delays,Crime / Safety,Station infrastructure
L,Everyday / Almost everyday,20 - 40 min,Very satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Sick passenger,True,Positive,01/10/2019 @ 05:45 PM,in person,Frequent route changes,,
L,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Signal malfunction,True,Positive,01/10/2019 @ 05:47 PM,in person,Delays,,
1,Once a week,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Almost never,Signal malfunction,True,Other / No thoughts,01/10/2019 @ 05:48 PM,in person,Frequent route changes,Station infrastructure,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,For-hire vehicle,Almost never,,True,,01/10/2019 @ 05:48 PM,in person,Crime / Safety,Station infrastructure,Overcrowded trains
C,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,Signal malfunction,True,Positive,01/10/2019 @ 05:49 PM,in person,Delays,High fares,Overcrowded trains
B,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,> 60 min,Use another train,All the time,Train traffic,False,Negative,01/10/2019 @ 05:51 PM,in person,Delays,Customer service,Overcrowded trains
M,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 05:53 PM,in person,Delays,Frequent route changes,Lack of handicap access
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 05:54 PM,in person,Delays,Overcrowded trains,
A,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,Police incident,True,Unaware,01/10/2019 @ 05:55 PM,in person,Delays,Station infrastructure,Overcrowded trains
2,Once a week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 05:56 PM,in person,Delays,Frequent route changes,Old trains
1,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,All the time,No reason is given,True,Unaware,01/10/2019 @ 05:58 PM,in person,Delays,Customer service,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Signal malfunction,True,Neutral,01/10/2019 @ 06:05 PM,in person,Delays,High fares,Old trains
1,"Weekdays, Mon - Fri",< 20 min,Not satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 06:09 PM,in person,Delays,Crime / Safety,Station infrastructure
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,No reason is given,False,Positive,01/10/2019 @ 06:13 PM,in person,Delays,High fares,Crime / Safety
A,~5 days per week,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 06:13 PM,in person,Station infrastructure,Old trains,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 06:18 PM,in person,Delays,Frequent route changes,High fares
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,,Only on weekends,Sick passenger,True,Negative,01/10/2019 @ 06:19 PM,in person,High fares,Customer service,Overcrowded trains
J,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,5 - 10 min,,All the time,No reason is given,False,Negative,01/10/2019 @ 06:25 PM,in person,Delays,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 06:29 PM,in person,Delays,Frequent route changes,Station infrastructure
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,Weather,True,Negative,01/10/2019 @ 06:33 PM,in person,Station infrastructure,Old trains,Lack of handicap access
1,Everyday / Almost everyday,< 20 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 06:34 PM,in person,Delays,Frequent route changes,Customer service
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,,Walk,Almost never,Train traffic,True,Positive,01/10/2019 @ 06:38 PM,in person,Frequent route changes,Old trains,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Signal malfunction,False,Positive,01/10/2019 @ 06:39 PM,in person,Crime / Safety,Lack of handicap access,
2,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 06:47 PM,in person,Frequent route changes,Station infrastructure,Overcrowded trains
2,Everyday / Almost everyday,< 20 min,,A few times a week,5 - 10 min,Use another train,,Train traffic,True,Positive,01/10/2019 @ 06:49 PM,in person,Customer service,Station infrastructure,Lack of handicap access
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,No reason is given,True,Unaware,01/10/2019 @ 06:53 PM,in person,,,
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Walk,,,False,Positive,01/10/2019 @ 06:59 PM,in person,Frequent route changes,Station infrastructure,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only at night,Train traffic,False,Positive,01/10/2019 @ 07:03 PM,in person,Station infrastructure,Old trains,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Almost never,Train traffic,False,Positive,01/11/2019 @ 07:55 AM,in person,Crime / Safety,Overcrowded trains,
N,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Take a bus,Almost never,Train traffic,True,Positive,01/11/2019 @ 08:01 AM,in person,Delays,Frequent route changes,Station infrastructure
D,Everyday / Almost everyday,60 - 90 min,Very satisfied,Everyday,10 - 20 min,Wait for next train,Almost never,Weather,False,Neutral,01/11/2019 @ 08:10 AM,in person,Delays,,
Q,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,False,Positive,01/11/2019 @ 08:35 AM,in person,Delays,Crime / Safety,
4,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,All the time,Signal malfunction,False,Positive,01/11/2019 @ 08:36 AM,in person,Delays,Frequent route changes,High fares
4,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,45 - 60 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/11/2019 @ 08:49 AM,in person,Delays,Crime / Safety,Station infrastructure
D,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Negative,01/11/2019 @ 08:56 AM,in person,Delays,High fares,Overcrowded trains
2,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Waiting for signal change,False,Negative,01/11/2019 @ 09:05 AM,in person,Delays,Crime / Safety,Overcrowded trains
Q,Everyday / Almost everyday,40 - 60 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,,,True,Positive,01/11/2019 @ 09:12 AM,in person,,,
D,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Other / No thoughts,01/11/2019 @ 09:17 AM,in person,,,
2,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Only at night,Waiting for signal change,True,Negative,01/11/2019 @ 01:51 PM,in person,Delays,Frequent route changes,Overcrowded trains
6,Once a week,20 - 40 min,Somewhat satisfied,Rarely,45 - 60 min,Wait for next train,Only on weekends,Police incident,True,Positive,01/11/2019 @ 01:51 PM,in person,High fares,Old trains,Lack of handicap access
6,"More than once a week, varies",< 20 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Negative,01/11/2019 @ 01:56 PM,in person,Delays,High fares,Crime / Safety
6,"More than once a week, varies",40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/11/2019 @ 02:02 PM,in person,Delays,Crime / Safety,Overcrowded trains
6,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Everyday,10 - 20 min,Take a bus,Almost never,Train traffic,False,Positive,01/11/2019 @ 02:04 PM,in person,Delays,High fares,Overcrowded trains
6,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Everyday,10 - 20 min,Take a bus,Almost never,Train traffic,False,Positive,01/11/2019 @ 02:04 PM,in person,Delays,High fares,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,,True,,01/11/2019 @ 02:12 PM,in person,Delays,Crime / Safety,Station infrastructure
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,,True,,01/11/2019 @ 02:12 PM,in person,Delays,Crime / Safety,Station infrastructure
6,,< 20 min,Somewhat satisfied,A few times a week,10 - 20 min,Take a bus,Only on weekends,Train traffic,False,Positive,01/11/2019 @ 02:16 PM,in person,Crime / Safety,Overcrowded trains,Lack of handicap access
